==============================================================================
ReFS Directory Tree
==============================================================================
  Image:           win11refstestmftecmd.raw
  ReFS version:    3.14
  Cluster size:    0x1000
  Objects:         250
  Start OID:       0x600
  Start name:      Root Directory

  Total entries:   1744 (237 directories, 1507 files, 84 ADS)

  Type  OID          Attrs            Size Modified             Path
  FILE  0x752        ARCHIVE        283500 2026-05-23 07:34:00  test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_oscar_306778/xbpt_zulu_hotel_433348.log
  DIR   0x777        DIRECTORY             2026-05-23 07:34:05  test/elvis_dir_record_449015/elvis_dir_lima_252141/elvis_dir_report_664539
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_alpha_delta_877195.json
  FILE  0x74c        ARCHIVE        159126 2026-05-23 07:34:01  test/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_index_draft_129088.bin
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:05  test/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_kilo_quebec_845728.bak
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:04  test/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_tango_record_232127.csv
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:06  test/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_temp_index_659152.xml
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:03  test/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_uniform_mike_713257.xml
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:03  test/elvis_dir_record_449015/elvis_dir_lima_252141/xbpt_yankee_report_288078.log
  DIR   0x75e        DIRECTORY             2026-05-23 07:34:06  test/elvis_dir_record_449015/elvis_dir_papa_104235
  DIR   0x744        DIRECTORY             2026-05-23 07:34:05  test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743
  DIR   0x743        DIRECTORY             2026-05-23 07:34:06  test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016
  DIR   0x761        DIRECTORY             2026-05-23 07:34:02  test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_archive_704644
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:02  test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_archive_704644/xbpt_uniform_oscar_320878.log
  DIR   0x741        DIRECTORY             2026-05-23 07:34:05  test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:00  test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_config_archive_855545.dat
  FILE  (resident)   ARCHIVE             0 2026-05-23 07:34:01  test/elvis_dir_record_449015/elvis_dir_papa_104235/elvis_dir_sync_718743/elvis_dir_gamma_109016/elvis_dir_config_541148/xbpt_data_victor_588744.ini
