==============================================================================
ReFS Object ID Table
==============================================================================
  Image:            win11refs2tspecials.raw
  Partition start:  0x1000000
  Cluster size:     0x1000
  ReFS version:     3.14
  CPC:              0x4000 (shift=15)
  Container entries:32767
  OID Table root:   [0x11610, 0x11611, 0x11612, 0x11613]
  OID Table phys:   [0x1610, 0x1611, 0x1612, 0x1613]

Total objects: 230

  OID      Name                             Root LCN Physical LCN    Sig Extra
  ----------------------------------------------------------------------------
    Key (raw):  00000000000000000a00000000000000
    VLCN tuple: [0x100a4, 0x100a5, 0x100a6, 0x100a7]
    PLCN tuple: [0xa4, 0xa5, 0xa6, 0xa7]
    Absolute:   0x10a4000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x0 0x0

  OID 0xd — Trash Table
    Key (raw):  00000000000000000d00000000000000
    VLCN tuple: [0x100ac, 0x100ad, 0x100ae, 0x100af]
    PLCN tuple: [0xac, 0xad, 0xae, 0xaf]
    Absolute:   0x10ac000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x2 0x0

  OID 0x30 — Session Activity Table
    Key (raw):  00000000000000003000000000000000
    VLCN tuple: [0x1240c, 0x1240d, 0x1240e, 0x1240f]
    PLCN tuple: [0x240c, 0x240d, 0x240e, 0x240f]
    Absolute:   0x340c000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x1383 0x1

  OID 0x500 — Volume Information
    Key (raw):  00000000000000000005000000000000
    VLCN tuple: [0x11600, 0x11601, 0x11602, 0x11603]
    PLCN tuple: [0x1600, 0x1601, 0x1602, 0x1603]
    Absolute:   0x2600000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x8 0x1

  OID 0x501 — Volume Information (dup)
    Key (raw):  00000000000000000105000000000000
    VLCN tuple: [0x10e00, 0x10e01, 0x10e02, 0x10e03]
    PLCN tuple: [0xe00, 0xe01, 0xe02, 0xe03]
    Absolute:   0x1e00000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x8 0x1

  OID 0x520 — FS Metadata
    Key (raw):  00000000000000002005000000000000
    VLCN tuple: [0x12600, 0x12601, 0x12602, 0x12603]
    PLCN tuple: [0x2600, 0x2601, 0x2602, 0x2603]
    Absolute:   0x3600000
    Signature:  MSB+
    Value size: 88 bytes (standard=80, extra=8)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x8 0x7 0x1
    Extra bytes (8):
    00000050  00 05 00 00 00 00 00 00                           ........

  OID 0x530 — Security Descriptor Stream
    Key (raw):  00000000000000003005000000000000
    VLCN tuple: [0x13a00, 0x13a01, 0x13a02, 0x13a03]
    PLCN tuple: [0x3a00, 0x3a01, 0x3a02, 0x3a03]
    Absolute:   0x4a00000
    Signature:  MSB+
    Value size: 80 bytes (standard=80, extra=0)
    u32[0..7]:  0x2 0x0 0x18 0x30 0x50 0x0 0x451 0x1

  OID 0x540 — Reparse Point Index
