seq,timestamp,action,path,name,oid,opcodes,record_count,plcn,image
132,2026-05-23T07:05:42.094Z,CREATE,OID 0x730,MSI9d9db.tmp,0x730,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33010,win11refstestmftecmd.raw
133,2026-05-23T07:05:43.605Z,CREATE,OID 0x731,MSI9d9e1.tmp,0x731,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33011,win11refstestmftecmd.raw
134,2026-05-23T07:05:45.090Z,CREATE,OID 0x732,MSI9d9e7.tmp,0x732,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33012,win11refstestmftecmd.raw
135,2026-05-23T07:05:46.724Z,CREATE,OID 0x733,MSI9d9ed.tmp,0x733,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33013,win11refstestmftecmd.raw
136,,CONTAINER,,,,MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER MOVE_CONTAINER,17,33014,win11refstestmftecmd.raw
137,2026-05-23T07:05:48.327Z,CREATE,OID 0x734,MSI9d9f3.tmp,0x734,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33015,win11refstestmftecmd.raw
138,,DELETE,/,MSI9d9f9.tmp,0x600,DELETE_ROW DELETE_ROW DELETE_TABLE DELETE_ROW,4,33018,win11refstestmftecmd.raw
139,2026-05-23T07:05:51.651Z,CREATE,OID 0x736,MSI9d9ff.tmp,0x736,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33019,win11refstestmftecmd.raw
140,2026-05-23T07:05:53.216Z,CREATE,OID 0x737,MSI9da05.tmp,0x737,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33020,win11refstestmftecmd.raw
141,2026-05-23T07:05:54.691Z,CREATE,OID 0x738,MSI9da0b.tmp,0x738,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33021,win11refstestmftecmd.raw
142,2026-05-23T07:05:56.151Z,CREATE,OID 0x739,MSI9da11.tmp,0x739,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33022,win11refstestmftecmd.raw
143,2026-05-23T07:05:57.996Z,CREATE,OID 0x73a,MSI9da17.tmp,0x73a,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33023,win11refstestmftecmd.raw
144,2026-05-23T07:05:59.843Z,CREATE,OID 0x73b,MSI9da1d.tmp,0x73b,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33024,win11refstestmftecmd.raw
145,2026-05-23T07:06:01.781Z,CREATE,OID 0x73c,MSI9da23.tmp,0x73c,OPEN_TABLE_FROM SET_OBJECT INSERT_ROW INSERT_ROW INSERT_ROW INSERT_ROW,6,33025,win11refstestmftecmd.raw
